['10.0.0.4', '10.0.0.2']
3
iteration 14, phase 8, node 3, test accuracy = 85.43%
iteration 15, phase 8, node 3, test accuracy = 85.93%
iteration 16, phase 8, node 3, test accuracy = 85.93%
iteration 17, phase 8, node 3, test accuracy = 85.93%
iteration 18, phase 8, node 3, test accuracy = 85.93%
iteration 19, phase 8, node 3, test accuracy = 86.43%
iteration 20, phase 8, node 3, test accuracy = 86.43%
iteration 21, phase 8, node 3, test accuracy = 86.43%
iteration 22, phase 8, node 3, test accuracy = 86.43%
iteration 23, phase 8, node 3, test accuracy = 86.43%
iteration 24, phase 8, node 3, test accuracy = 86.43%
iteration 25, phase 8, node 3, test accuracy = 86.43%
iteration 26, phase 8, node 3, test accuracy = 86.43%
iteration 27, phase 8, node 3, test accuracy = 86.93%
iteration 28, phase 8, node 3, test accuracy = 86.93%
iteration 29, phase 8, node 3, test accuracy = 86.93%
iteration 30, phase 8, node 3, test accuracy = 86.93%
iteration 31, phase 8, node 3, test accuracy = 86.93%
iteration 32, phase 8, node 3, test accuracy = 86.93%
iteration 33, phase 8, node 3, test accuracy = 87.44%
iteration 34, phase 8, node 3, test accuracy = 87.44%
iteration 35, phase 8, node 3, test accuracy = 87.94%
iteration 36, phase 8, node 3, test accuracy = 87.94%
iteration 37, phase 8, node 3, test accuracy = 87.94%
iteration 38, phase 8, node 3, test accuracy = 87.94%
iteration 39, phase 8, node 3, test accuracy = 87.94%
iteration 40, phase 8, node 3, test accuracy = 87.94%
iteration 41, phase 8, node 3, test accuracy = 87.94%
iteration 42, phase 8, node 3, test accuracy = 87.94%
iteration 43, phase 8, node 3, test accuracy = 87.94%
iteration 44, phase 8, node 3, test accuracy = 87.94%
iteration 45, phase 8, node 3, test accuracy = 87.94%
iteration 46, phase 8, node 3, test accuracy = 87.94%
iteration 47, phase 8, node 3, test accuracy = 88.44%
iteration 48, phase 8, node 3, test accuracy = 88.44%
iteration 49, phase 8, node 3, test accuracy = 88.44%
iteration 0, phase 9, node 3, test accuracy = 72.86%
iteration 1, phase 9, node 3, test accuracy = 76.38%
iteration 2, phase 9, node 3, test accuracy = 78.39%
iteration 3, phase 9, node 3, test accuracy = 79.90%
iteration 4, phase 9, node 3, test accuracy = 79.90%
iteration 5, phase 9, node 3, test accuracy = 80.40%
iteration 6, phase 9, node 3, test accuracy = 81.91%
iteration 7, phase 9, node 3, test accuracy = 81.91%
iteration 8, phase 9, node 3, test accuracy = 82.41%
iteration 9, phase 9, node 3, test accuracy = 83.92%
iteration 10, phase 9, node 3, test accuracy = 84.42%
iteration 11, phase 9, node 3, test accuracy = 85.43%
iteration 12, phase 9, node 3, test accuracy = 85.43%
iteration 13, phase 9, node 3, test accuracy = 85.93%
iteration 14, phase 9, node 3, test accuracy = 86.43%
iteration 15, phase 9, node 3, test accuracy = 86.93%
iteration 16, phase 9, node 3, test accuracy = 86.93%
iteration 17, phase 9, node 3, test accuracy = 86.93%
iteration 18, phase 9, node 3, test accuracy = 86.93%
iteration 19, phase 9, node 3, test accuracy = 86.93%
iteration 20, phase 9, node 3, test accuracy = 86.93%
iteration 21, phase 9, node 3, test accuracy = 86.93%
iteration 22, phase 9, node 3, test accuracy = 86.93%
iteration 23, phase 9, node 3, test accuracy = 86.93%
iteration 24, phase 9, node 3, test accuracy = 86.93%
iteration 25, phase 9, node 3, test accuracy = 86.93%
iteration 26, phase 9, node 3, test accuracy = 86.93%
iteration 27, phase 9, node 3, test accuracy = 86.93%
iteration 28, phase 9, node 3, test accuracy = 86.93%
iteration 29, phase 9, node 3, test accuracy = 87.44%
iteration 30, phase 9, node 3, test accuracy = 87.44%
iteration 31, phase 9, node 3, test accuracy = 87.44%
iteration 32, phase 9, node 3, test accuracy = 87.44%
iteration 33, phase 9, node 3, test accuracy = 87.44%
iteration 34, phase 9, node 3, test accuracy = 87.94%
iteration 35, phase 9, node 3, test accuracy = 87.44%
iteration 36, phase 9, node 3, test accuracy = 87.44%
iteration 37, phase 9, node 3, test accuracy = 87.44%
iteration 38, phase 9, node 3, test accuracy = 87.44%
iteration 39, phase 9, node 3, test accuracy = 87.44%
iteration 40, phase 9, node 3, test accuracy = 87.44%
iteration 41, phase 9, node 3, test accuracy = 87.44%
iteration 42, phase 9, node 3, test accuracy = 87.44%
iteration 43, phase 9, node 3, test accuracy = 87.44%
iteration 44, phase 9, node 3, test accuracy = 87.44%
iteration 45, phase 9, node 3, test accuracy = 87.44%
iteration 46, phase 9, node 3, test accuracy = 86.93%
iteration 47, phase 9, node 3, test accuracy = 86.93%
iteration 48, phase 9, node 3, test accuracy = 87.44%
iteration 49, phase 9, node 3, test accuracy = 87.94%
iteration 0, phase 10, node 3, test accuracy = 74.87%
iteration 1, phase 10, node 3, test accuracy = 77.39%
iteration 2, phase 10, node 3, test accuracy = 78.89%
iteration 3, phase 10, node 3, test accuracy = 79.90%
iteration 4, phase 10, node 3, test accuracy = 80.90%
iteration 5, phase 10, node 3, test accuracy = 80.90%
iteration 6, phase 10, node 3, test accuracy = 82.41%
iteration 7, phase 10, node 3, test accuracy = 82.91%
iteration 8, phase 10, node 3, test accuracy = 83.92%
iteration 9, phase 10, node 3, test accuracy = 83.92%
iteration 10, phase 10, node 3, test accuracy = 84.42%
iteration 11, phase 10, node 3, test accuracy = 84.42%
iteration 12, phase 10, node 3, test accuracy = 84.42%
iteration 13, phase 10, node 3, test accuracy = 84.42%
